name,price,img,description
Geely Monjaro,"
$30500

2725480сом
",https://im.mashina.kg/tachka/images//1/7/3/17375717dbc42d90ac756df039c04e9a_240x180.jpg,"

2023г.,2л.,автомат



внедорожник5дв.,бензин

рульслева,15км
"
Toyota Camry,"
$12800

1143808сом
",https://im.mashina.kg/tachka/images//7/f/4/7f4656f946ef9f96020f9ecbc05d4d97_240x180.jpg,"

2017г.,2.5л.,автомат



седан,бензин

рульслева,117000км
"
Changan UNI-T,"
$22200

1983792сом
",https://im.mashina.kg/tachka/images//a/7/3/a73708e6c0796222a183c88d4a624a77_240x180.jpg,"

2023г.,1.5л.,робот



внедорожник5дв.,бензин

рульслева,10км
"
Geely Coolray,"
$18200

1626352сом
",https://im.mashina.kg/tachka/images//e/a/6/ea6257e3e2ed2170ae30e650f2e3f6ca_240x180.jpg,"

2023г.,1.5л.,робот



внедорожник5дв.,бензин

рульслева,5км
"
HiPhi Y,"
$74000

6612640сом
",https://im.mashina.kg/tachka/images//9/b/d/9bdabcb6b6ad91d8e2e423b337f74078_240x180.jpg,"

2023г.,автомат



внедорожник5дв.,электро

рульслева,5км
"
Jetour Traveller,"
$34000

3038240сом
",https://im.mashina.kg/tachka/images//b/1/2/b128024fadb7e1df0e13ccb544125fe7_240x180.jpg,"

2023г.,2л.,робот



внедорожник5дв.,бензин

рульслева,5км
"
Kia Sorento,"
$16000

1429760сом
",https://im.mashina.kg/tachka/images//8/2/0/82006068bad0bd1885e7fae676e83ff9_240x180.jpg,"

2017г.,3.3л.,автомат



внедорожник5дв.,бензин

рульслева,62300км
"
EXEED VX,"
$31500

2814840сом
",https://im.mashina.kg/tachka/images//6/1/f/61f18ad7ec4cb4965527cb060642d041_240x180.jpg,"

2023г.,2л.,робот



внедорожник5дв.,бензин

рульслева,30км
"
LiXiang L9,"
$67000

5987120сом
",https://im.mashina.kg/tachka/images//9/a/5/9a522a76eec21a46ae1ae0c0c7440942_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева
"
BMW 5 серии,"
$51000

4557360сом
",https://im.mashina.kg/tachka/images//8/e/4/8e4890bfa3843bf0d28710d37d5ea499_240x180.jpg,"

2020г.,3л.,автомат



седан,бензин

рульслева,23000км
"
LiXiang L9,"
$67000

5987120сом
",https://im.mashina.kg/tachka/images//6/8/3/68336d8f42302a9100e5630ee26dc765_240x180.jpg,"

2023г.,1.5л.,автомат



внедорожник5дв.,гибрид

рульслева,20км
"
Geely Coolray,"
$17500

1563800сом
",https://im.mashina.kg/tachka/images//9/c/9/9c962dad13d620bb6d4cc91d98baf392_240x180.jpg,"

2023г.,1.5л.,робот



внедорожник5дв.,бензин

рульслева,28км
"
BMW 5 серии,"
$34300

3065048сом
",https://im.mashina.kg/tachka/images//2/1/d/21ddc2b8fe386f2f034acd842a1da463_240x180.jpg,"

2020г.,2л.,автомат



седан,дизель

рульслева,119000км
"
Toyota Camry,"
$25900

2314424сом
",https://im.mashina.kg/tachka/images//1/a/9/1a90b575adac188eb0288dab7a2ee7e3_240x180.jpg,"

2021г.,2.5л.,автомат



седан,бензин

рульслева,20000км
"
